Cruise,Date,Day,Month,Year,Day of Year,Decimal Year,ID,Site,Depth [m],Latitude,Longitude,Temperature [°C],Salinity [ppt],DO [µM],DIC [umol/kg],TA [umol/kg],Bacteria x108  cells/L,Cyanobacteria x108  cells/L,BP (pmol/L/hour),DOC (uM C),TOC (uM C),TDAA (µM C),Phosphate (µM),Silicate (µM),Nitrite (µM),Nitrite + Nitrate (µM),Nitrate (µM),Ammonia (µM),pH ,fCO2 (microatm),pCO2 (microatm),CO3 (micromol/kgSW),HCO3 (micromol/kgSW),CO2 (micromol/kgSW),B Alk (micromol/kgSW),OH (micromol/kgSW),Revelle ,Ω Ca ,Ω Ar ,cbbL,amoA,Nitrosopumilales,Chlorobiales,Flavobacteriales,SAR11,SAR202,Syn
27,23/01/2018,23,1,2018,22,2018.06,5,DH surface,1,32.32421,-64.71849,18.8,36.3183,165.90625,2079.069061,2356.643739,12.51,0.525630644,,,,,0,2.194037926,0.028286821,2.322264139,2.293977319,0.609773272,8.061,393.436,394.795,198.901,1867.077,13.091,87.681,4.093,10.156,4.705,3.054,,,,,,,,
27,23/01/2018,23,1,2018,22,2018.06,6,DH 6,5,32.32421,-64.71849,18.7,36.33,165.9375,2075.896948,2354.761563,12.16,0.622298348,,,,,0,2.233222801,0.046061741,2.163658134,2.117596393,0.061882079,8.065,388.866,390.211,199.588,1863.334,12.975,88.168,4.092,10.124,4.717,3.062,,,,,,,,
27,23/01/2018,23,1,2018,22,2018.06,7,DH 7,10,32.32421,-64.71849,18.6,36.35,165.625,2074.672271,2354.323385,12.41,0.573964496,,,,,0,1.977436397,0.04301277,1.794270244,1.751257474,0.082226913,8.067,385.855,387.192,199.992,1861.771,12.91,88.497,4.081,10.111,4.722,3.064,,,,,,,,
27,23/01/2018,23,1,2018,22,2018.06,8,DH 8,15,32.32421,-64.71849,18.6,36.35,166.25,2080.303776,2356.21552,12.59,0.489380254,,,,,0,6.035746009,0,1.865065848,1.865065848,0.193543797,8.06,393.572,394.935,197.667,1869.469,13.168,87.405,4.017,10.186,4.664,3.026,,,,,,,,
27,23/01/2018,23,1,2018,22,2018.06,9,DH 9,20,32.32421,-64.71849,18.6,36.3565,165.28125,2083.536118,2356.504319,12.83,0.501463717,,,,,0,1.928383352,0.024843513,1.795259704,1.770416191,0.188029516,8.055,399.435,400.818,195.79,1874.382,13.364,86.583,3.968,10.245,4.615,2.995,,,,,,,,
27,23/01/2018,23,1,2018,22,2018.06,10,DH 10,22,32.32421,-64.71849,18.6,36.36,156.5625,2087.591605,2355.349121,10.71,0.567922764,,,,,0,1.895878212,0.039379262,1.818291039,1.778911777,0.190126899,8.046,409.481,410.899,192.434,1881.458,13.699,85.146,3.885,10.349,4.535,2.943,,,,,,,,
27,23/01/2018,23,1,2018,22,2018.06,11,DH 11,23,32.32421,-64.71849,18.6,36.36,156.875,2081.11688,2358.806678,11,0.495421986,,,,,0,2.062250185,0.00176745,1.821695257,1.819927806,0.215229255,8.063,391.071,392.425,198.864,1869.169,13.084,87.877,4.042,10.162,4.685,3.041,,,,,,,,
27,23/01/2018,23,1,2018,22,2018.06,12,DH bottom,24.5,32.32421,-64.71849,18.6,36.3591,163.9375,2079.892204,2361.188889,7.73,0.344378698,,,,,0,5.567221295,0.004503721,1.784688199,1.780184478,0.283297655,8.069,385.019,386.353,201.243,1865.768,12.881,88.846,4.098,10.098,4.74,3.076,,,,,,,,
28,15/02/2018,15,2,2018,44,2018.12,5,DH surface,1,32.32421,-64.71849,20.2,36.1002,171.21875,2062.228769,2348.660803,7.44,0.193335409,,65.79046757,,,0,0.593614826,0.034607064,1.597009059,1.562401995,0.201421917,8.058,393.767,395.103,205.135,1844.478,12.615,89.295,4.627,9.957,4.866,3.169,,,,,,,,
28,15/02/2018,15,2,2018,44,2018.12,6,DH 6,5,32.32421,-64.71849,19.9,36.14,171.5625,2064.034776,2351.204687,6.43,0.084584242,,65.16301659,,,0,0.395318533,0.009999548,1.572831352,1.562831803,0.481525477,8.063,388.89,390.215,205.509,1845.965,12.56,89.676,4.555,9.953,4.869,3.169,,,,,,,,
28,15/02/2018,15,2,2018,44,2018.12,7,DH 7,10,32.32421,-64.71849,19,36.4,179.6875,2067.79729,2363.483027,8.66,0.229585798,,65.7747813,,,0,0.208853167,0.004383429,0.869795856,0.865412427,0.215905985,8.087,366.335,367.598,210.706,1844.975,12.116,92.667,4.436,9.834,4.975,3.231,,,,,,,,
28,15/02/2018,15,2,2018,44,2018.12,8,DH 8,15,32.32421,-64.71849,18.2,36.43,178.4375,2074.539714,2364.118998,9.49,0.108751168,,68.18262443,,,0,0.456006269,0,0.543696977,0.543696977,0.176913295,8.088,365.614,366.887,206.408,1855.765,12.367,91.419,4.128,9.957,4.866,3.154,,,,,,,,
28,15/02/2018,15,2,2018,44,2018.12,9,DH 9,20,32.32421,-64.71849,18.2,36.4294,172.3125,2081.221939,2364.416468,8.74,0.181251946,,66.25713424,,,0,10.71738689,0,0.542460314,0.542460314,0.599748223,8.077,377.107,378.42,202.329,1866.137,12.756,89.607,4.024,10.075,4.766,3.09,,,,,,,,
28,15/02/2018,15,2,2018,44,2018.12,10,DH 10,22,32.32421,-64.71849,18.1,36.44,168.125,2085.034619,2365.688409,8.48,0.120834631,,69.48066365,,,0,1.785727581,0,0.505735142,0.505735142,0.568219961,8.074,380.739,382.066,200.695,1871.425,12.915,88.925,3.957,10.126,4.725,3.063,,,,,,,,
28,15/02/2018,15,2,2018,44,2018.12,11,DH 11,23,32.32421,-64.71849,18.1,36.43,168.75,2079.235332,2367.380912,9.88,0.145001557,,66.05321267,,,0,1.761296687,0,0.559187245,0.559187245,0.618897826,8.086,367.619,368.9,205.547,1861.217,12.471,91.001,4.076,9.992,4.839,3.137,,,,,,,,
28,15/02/2018,15,2,2018,44,2018.12,12,DH bottom,24.5,32.32421,-64.71849,18.1,36.4301,169.5,2087.753663,2374.745865,12.51,0.120834631,,64.63360483,,,0,1.927957513,0,0.558548391,0.558548391,0.703269767,8.083,371.973,373.27,205.069,1870.067,12.618,90.503,4.047,10.033,4.826,3.129,,,,,,,,
29,20/03/2018,20,3,2018,79,2018.22,5,DH surface,1,32.32421,-64.71849,17.7,36.2325,169.84375,2083.957501,2367.003944,9.28,0.477296791,,65.7747813,,,,,,,,,8.087,368.746,370.037,202.358,1868.935,12.667,89.449,3.909,10.097,4.787,3.098,,,,,,,,
29,20/03/2018,20,3,2018,79,2018.22,6,DH 6,5,32.32421,-64.71849,17.6,36.24,180.625,2083.43599,2368.08315,9.47,0.592089691,,69.70027149,,,0,4.019170357,0,0.666639758,0.666639758,0.068162194,8.091,364.801,366.08,203.358,1867.515,12.567,89.949,3.908,10.069,4.807,3.111,,,,,,,,
29,20/03/2018,20,3,2018,79,2018.22,7,DH 7,10,32.32421,-64.71849,17.6,36.26,176.875,2080.507506,2366.250536,8.36,0.664590469,,68.94733032,,,0,1.013289055,0,0.460983945,0.460983945,0,8.093,362.471,363.742,203.964,1864.061,12.485,90.343,3.927,10.043,4.816,3.117,,,,,,,,
29,20/03/2018,20,3,2018,79,2018.22,8,DH 8,15,32.32421,-64.71849,17.6,36.28,172.5,2086.083661,2368.500579,10.29,0.676673932,,70.82184012,,,0,1.045086849,0.003603507,0.605099948,0.608703455,0,8.086,369.217,370.512,201.887,1871.476,12.716,89.386,3.871,10.113,4.763,3.083,,,,,,,,
29,20/03/2018,20,3,2018,79,2018.22,9,DH 9,20,32.32421,-64.71849,17.6,36.2826,168.46875,2084.910261,2369.498335,9.71,0.803550294,,71.37870287,,,0,1.028741651,0,0.606907664,0.606907664,0,8.09,365.664,366.947,203.296,1869.021,12.594,89.993,3.904,10.075,4.792,3.102,,,,,,,,
29,20/03/2018,20,3,2018,79,2018.22,10,DH 10,22,32.32421,-64.71849,17.6,36.29,167.5,2087.46767,2375.623685,8.76,0.47125506,,68.47282051,,,0,2.126964391,0,0.638684135,0.638684135,0.002184214,8.095,361.369,362.636,205.781,1869.244,12.446,90.873,3.951,10.025,4.849,3.139,,,,,,,,
29,20/03/2018,20,3,2018,79,2018.22,11,DH 11,23,32.32421,-64.71849,17.6,36.29,159.375,2086.51491,2375.185171,9.73,0.265836188,,70.22576169,,,0,1.116269492,0,0.650379374,0.650379374,0.036398133,8.096,360.314,361.578,206.102,1867.998,12.409,91.036,3.96,10.016,4.855,3.143,,,,,,,,
29,20/03/2018,20,3,2018,79,2018.22,12,DH bottom,24.5,32.32421,-64.71849,17.6,36.2947,164.96875,2082.322765,2393.245826,8.32,0.54979757,,68.17085973,,,0,5.473612586,0,0.654586369,0.654586369,0.158837158,8.13,329.451,330.606,221.075,1849.899,11.346,96.919,4.289,9.673,5.207,3.371,,,,,,,,
30,09/04/2018,9,4,2018,98,2018.27,5,DH surface,1,32.32421,-64.71849,20.2,36.29,166.59375,2076.084692,2369.507667,9.87,0.531672375,,75.61399698,78.34340875,,0,0.16759668,0,0.096225788,0.096225788,0.081653315,8.065,389.589,390.912,210.178,1853.434,12.469,91.017,4.712,9.878,4.978,3.243,,,,,,,,
30,09/04/2018,9,4,2018,98,2018.27,6,DH 6,5,32.32421,-64.71849,20.1,36.2,165.625,2078.792537,2371.42365,11.66,0.912301462,,76.40223228,77.14733032,,0,0.162696355,0,0.066849737,0.066849737,0.010293177,8.066,389.186,390.508,209.773,1856.521,12.496,90.69,4.672,9.902,4.968,3.235,,,,,,,,
