"","Expt","Sample","Day","stationary","t_gen","DOC","INT_DOC","delta_cells","delta_doc","INTERP_cells","INTERP_DOC","INTERP_delta_cells","INTERP_delta_doc","AUC_cells","AUC_doc","AUC_cells_norm","AUC_doc_norm","µ"
"1","DH36","A",0,7.2,0.4,98.32,98.32,0,0,7.85,98.32,0,0,0,0,NA,NA,0.03
"2","DH36","A",0.63,7.2,0.4,NA,98.61295,0.1,-0.29295,7.95,98.61295,0.1,-0.29295,0.0315,-0.09227925,0.05,-0.146475,0.03
"3","DH36","A",0.93,7.2,0.4,NA,98.75245,0.13,-0.43245,7.98,98.75245,0.13,-0.43245,0.066,-0.20108925,0.0709677419354839,-0.216225,0.03
"4","DH36","A",1.59,7.2,0.4,NA,99.05935,0.16,-0.73935,8.01,99.05935,0.16,-0.73935,0.1617,-0.58778325,0.101698113207547,-0.369675,0.03
"5","DH36","A",2,7.2,0.4,99.25,99.25,0.07,-0.93,7.92,99.25,0.07,-0.93,0.20885,-0.93,0.104425,-0.465,0.03
"6","DH36","A",2.72,7.2,0.4,NA,98.19842105,0.27,0.121578947,8.12,98.19842105,0.27,0.121578947,0.33125,-1.22103157908,0.121783088235294,-0.448908668779412,0.03
"7","DH36","A",3.72,7.2,0.4,NA,96.73789474,1.15,1.582105263,9,96.73789474,1.15,1.582105263,1.04125,-0.36918947408,0.279905913978495,-0.0992444822795699,0.03
"8","DH36","A",4.55,7.2,0.4,NA,95.52565789,1.59,2.794342105,9.44,95.52565789,1.59,2.794342105,2.17835,1.44703618364,0.478758241758242,0.31802993047033,0.03
"9","DH36","A",5.8,7.2,0.4,93.7,93.7,1.71,4.62,9.56,93.7,1.71,4.62,4.24085,6.080999999265,0.731181034482759,1.04844827573534,0.03
"10","DH36","A",6.78,7.2,0.4,NA,92.44886667,1.52,5.871133333,9.37,92.44886667,1.52,5.871133333,5.82355,11.221655332435,0.858930678466077,1.65511140596386,0.03
"11","DH36","A",7.2,7.2,0.4,NA,NA,NA,NA,9.46564356435644,91.9126666693069,1.61564356435644,6.40733333306931,6.48203514851485,13.8001333323096,0.900282659515952,1.91668518504299,0.03
"12","DH36","A",8.8,7.2,0.4,89.87,89.87,1.98,8.45,9.83,89.87,1.98,8.45,9.35855,25.685999998765,1.06347159090909,2.9188636362233,0.03
