"","Expt","Timepoint","Date","Sample","Treatment","Day","stationary","t_gen","Cells_L","DOC","lncellsL","INT_DOC","delta_cells","delta_doc","INTERP_cells","INTERP_DOC","INTERP_delta_cells","INTERP_delta_doc","AUC_cells","AUC_doc","AUC_cells_norm","AUC_doc_norm"
"1","DH36","T2","10/08/2018","E","D/S",0.93,7.6,0.1,13.22,97.51,2.58,97.51,0,0,13.22,97.51,0,0,0,0,0,0
"2","DH36","T3","11/08/2018","E","D/S",1.59,7.6,0.1,13.27,NA,2.59,96.69579439,0.05,0.814205607,13.27,96.69579439,0.05,0.814205607,0.0165,0.26868785031,0.010377358490566,0.168986069377358
"3","DH36","T4","11/08/2018","E","D/S",2,7.6,0.1,13.22,96.19,2.58,96.19,0,1.32,13.22,96.19,0,1.32,0.02675,0.706199999745,0.013375,0.3530999998725
"4","DH36","T5","12/08/2018","E","D/S",2.72,7.6,0.1,13.32,NA,2.59,95.64052632,0.1,1.869473684,13.32,95.64052632,0.1,1.869473684,0.06275,1.854410525985,0.0230698529411765,0.68176857572978
"5","DH36","T6","13/08/2018","E","D/S",3.72,7.6,0.1,14.83,NA,2.7,94.87736842,1.61,2.632631579,14.83,94.87736842,1.61,2.632631579,0.91775,4.105463157485,0.246706989247312,1.10361912835618
"6","DH36","T7","14/08/2018","E","D/S",4.55,7.6,0.1,21.04,NA,3.05,94.24394737,7.82,3.266052632,21.04,94.24394737,7.82,3.266052632,4.8312,6.55341710505,1.0618021978022,1.44031145165934
"7","DH36","T8","15/08/2018","E","D/S",5.8,7.6,0.1,17.36,93.29,2.85,93.29,4.14,4.22,17.36,93.29,4.14,4.22,12.3062,11.23220000005,2.12175862068966,1.93658620690517
"8","DH36","T9","16/08/2018","E","D/S",6.78,7.6,0.1,15.38,NA,2.73,90.56886667,2.16,6.941133333,15.38,90.56886667,2.16,6.941133333,15.3932,16.70115533322,2.27038348082596,2.46329724678761
"9","DH36","","","E","D/S",7.6,7.6,0.1,NA,NA,NA,NA,NA,NA,15.209504950495,88.2920000019802,1.98950495049505,9.21799999980198,17.094497029703,23.3263999996688,2.24927592496092,3.06926315785116
"10","DH36","T10","18/08/2018","E","D/S",8.8,7.6,0.1,14.96,84.96,2.71,84.96,1.74,12.55,14.96,84.96,1.74,12.55,19.3322,36.38719999955,2.19684090909091,4.13490909085796
