"","Expt","Timepoint","Date","Time","Day","Sample","Treatment","Cells_mL","DOC","lncellsml","INT_DOC","delta_cells","delta_doc"
"1","DH36","T0","09/08/2018","19:45",0,"A","S/S",7.85,98.32,2.06,98.32,0,0
"2","DH36","T0","09/08/2018","19:45",0,"B","S/S",8.11,95.34,2.09,95.34,0,0
"3","DH36","T0","09/08/2018","19:45",0,"C","S/D",7.8,97.83,2.05,97.83,0,0
"4","DH36","T0","09/08/2018","19:45",0,"D","S/D",8.29,103.05,2.12,103.05,0,0
"5","DH36","T0","09/08/2018","19:45",0,"E","D/S",17.73,97.51,2.88,97.51,0,0
"6","DH36","T0","09/08/2018","19:45",0,"F","D/S",17.51,97.39,2.86,97.39,0,0
"7","DH36","T1","10/08/2018","10:50",0.63,"A","S/S",7.95,NA,2.07,98.61295,0.100000000000001,-0.292950000000005
"8","DH36","T1","10/08/2018","10:50",0.63,"B","S/S",8.24,NA,2.11,95.34315,0.130000000000001,-0.00314999999999088
"9","DH36","T1","10/08/2018","10:50",0.63,"C","S/D",8.77,NA,2.17,96.39675,0.97,1.43325
"10","DH36","T1","10/08/2018","10:50",0.63,"D","S/D",8.66,NA,2.16,100.04805,0.370000000000001,3.00194999999999
"11","DH36","T1","10/08/2018","10:50",0.63,"E","D/S",14.62,NA,2.68,97.0942,-3.11,0.415800000000004
"12","DH36","T1","10/08/2018","10:50",0.63,"F","D/S",14.86,NA,2.7,96.63085,-2.65,0.759150000000005
"13","DH36","T2","10/08/2018","18:00",0.93,"A","S/S",7.98,NA,2.08,98.75245,0.130000000000001,-0.432450000000003
"14","DH36","T2","10/08/2018","18:00",0.93,"B","S/S",8.18,NA,2.1,95.34465,0.0700000000000003,-0.00464999999999804
"15","DH36","T2","10/08/2018","18:00",0.93,"C","S/D",8.34,NA,2.12,95.71425,0.54,2.11575000000001
"16","DH36","T2","10/08/2018","18:00",0.93,"D","S/D",8.89,NA,2.18,98.61855,0.600000000000001,4.43145
"17","DH36","T2","10/08/2018","18:00",0.93,"E","D/S",13.22,NA,2.58,96.8962,-4.51,0.613799999999998
"18","DH36","T2","10/08/2018","18:00",0.93,"F","D/S",13.08,NA,2.57,96.26935,-4.43,1.12065
"19","DH36","T3","11/08/2018","10:00",1.59,"A","S/S",8.01,NA,2.08,99.05935,0.16,-0.739350000000002
"20","DH36","T3","11/08/2018","10:00",1.59,"B","S/S",7.7,NA,2.04,95.34795,-0.409999999999999,-0.00794999999999391
"21","DH36","T3","11/08/2018","10:00",1.59,"C","S/D",8.67,NA,2.16,94.21275,0.87,3.61725
"22","DH36","T3","11/08/2018","10:00",1.59,"D","S/D",8.7,NA,2.16,95.47365,0.41,7.57635
"23","DH36","T3","11/08/2018","10:00",1.59,"E","D/S",13.27,NA,2.59,96.4606,-4.46,1.04940000000001
"24","DH36","T3","11/08/2018","10:00",1.59,"F","D/S",12.99,NA,2.56,95.47405,-4.52,1.91595
"25","DH36","T4","11/08/2018","19:45",2,"A","S/S",7.92,99.25,2.07,99.25,0.0700000000000003,-0.930000000000007
"26","DH36","T4","11/08/2018","19:45",2,"B","S/S",7.74,95.35,2.05,95.35,-0.369999999999999,-0.0099999999999909
"27","DH36","T4","11/08/2018","19:45",2,"C","S/D",9.21,93.28,2.22,93.28,1.41,4.55
"28","DH36","T4","11/08/2018","19:45",2,"D","S/D",9.71,93.52,2.27,93.52,1.42,9.53
"29","DH36","T4","11/08/2018","19:45",2,"E","D/S",13.22,96.19,2.58,96.19,-4.51,1.32000000000001
"30","DH36","T4","11/08/2018","19:45",2,"F","D/S",13.6,94.98,2.61,94.98,-3.91,2.41
"31","DH36","T5","12/08/2018","13:00",2.72,"A","S/S",8.12,NA,2.09,98.1984210526316,0.27,0.12157894736842
"32","DH36","T5","12/08/2018","13:00",2.72,"B","S/S",8.28,NA,2.11,94.9426315789474,0.17,0.397368421052633
"33","DH36","T5","12/08/2018","13:00",2.72,"C","S/D",9.02,NA,2.2,93.0317894736842,1.22,4.79821052631578
"34","DH36","T5","12/08/2018","13:00",2.72,"D","S/D",9.97,NA,2.3,93.052,1.68,9.998
"35","DH36","T5","12/08/2018","13:00",2.72,"E","D/S",13.32,NA,2.59,95.7011578947368,-4.41,1.80884210526317
"36","DH36","T5","12/08/2018","13:00",2.72,"F","D/S",13.6,NA,2.61,93.7348235294118,-3.91,3.65517647058823
"37","DH36","T6","13/08/2018","13:00",3.72,"A","S/S",9,NA,2.2,96.7378947368421,1.15,1.58210526315789
"38","DH36","T6","13/08/2018","13:00",3.72,"B","S/S",8.63,NA,2.16,94.3768421052632,0.520000000000001,0.963157894736852
