,Expt,Timepoint,Date,Time,Day,Sample,Treatment,Cells_mL,DOC,lncellsml,INT_DOC,delta_cells,delta_doc,Bottle,stationary,t_gen
1,DH36,T0,09/08/2018,19:45,0,A,S/S,7.85,98.32,2.06,98.32,0,0,A,7.2,0.4
37,DH36,T1,10/08/2018,10:50,0.63,A,S/S,7.95,NA,2.07,98.61295,0.1,-0.29295,A,7.2,0.4
73,DH36,T2,10/08/2018,18:00,0.93,A,S/S,7.98,NA,2.08,98.75245,0.13,-0.43245,A,7.2,0.4
109,DH36,T3,11/08/2018,10:00,1.59,A,S/S,8.01,NA,2.08,99.05935,0.16,-0.73935,A,7.2,0.4
145,DH36,T4,11/08/2018,19:45,2,A,S/S,7.92,99.25,2.07,99.25,0.07,-0.93,A,7.2,0.4
181,DH36,T5,12/08/2018,13:00,2.72,A,S/S,8.12,NA,2.09,98.19842105,0.27,0.121578947,A,7.2,0.4
217,DH36,T6,13/08/2018,13:00,3.72,A,S/S,9,NA,2.2,96.73789474,1.15,1.582105263,A,7.2,0.4
253,DH36,T7,14/08/2018,9:00,4.55,A,S/S,9.44,NA,2.24,95.52565789,1.59,2.794342105,A,7.2,0.4
289,DH36,T8,15/08/2018,15:00,5.8,A,S/S,9.56,93.7,2.26,93.7,1.71,4.62,A,7.2,0.4
325,DH36,T9,16/08/2018,14:30,6.78,A,S/S,9.37,NA,2.24,92.44886667,1.52,5.871133333,A,7.2,0.4
,DH36,,,,7.2,A,S/S,,,,,,,A,7.2,0.4
361,DH36,T10,18/08/2018,15:00,8.8,A,S/S,9.83,89.87,2.29,89.87,1.98,8.45,A,7.2,0.4
397,DH36,T11,21/08/2018,16:30,11.86,A,S/S,10.22,90.58,2.32,90.58,2.37,7.74,A,7.2,0.4
433,DH36,T12,26/08/2018,16:30,16.86,A,S/S,8.15,NA,2.1,87.40628062,0.3,10.91371938,A,7.2,0.4
469,DH36,T13,30/08/2018,16:00,20.84,A,S/S,8.24,84.88,2.11,84.88,0.39,13.44,A,7.2,0.4
8,DH36,T0,09/08/2018,19:45,0,B,S/S,8.11,95.34,2.09,95.34,0,0,B,8.8,1
44,DH36,T1,10/08/2018,10:50,0.63,B,S/S,8.24,NA,2.11,95.34315,0.13,-0.00315,B,8.8,1
80,DH36,T2,10/08/2018,18:00,0.93,B,S/S,8.18,NA,2.1,95.34465,0.07,-0.00465,B,8.8,1
116,DH36,T3,11/08/2018,10:00,1.59,B,S/S,7.7,NA,2.04,95.34795,-0.41,-0.00795,B,8.8,1
152,DH36,T4,11/08/2018,19:45,2,B,S/S,7.74,95.35,2.05,95.35,-0.37,-0.01,B,8.8,1
188,DH36,T5,12/08/2018,13:00,2.72,B,S/S,8.28,NA,2.11,94.94263158,0.17,0.397368421,B,8.8,1
224,DH36,T6,13/08/2018,13:00,3.72,B,S/S,8.63,NA,2.16,94.37684211,0.52,0.963157895,B,8.8,1
260,DH36,T7,14/08/2018,9:00,4.55,B,S/S,8.56,NA,2.15,93.90723684,0.45,1.432763158,B,8.8,1
296,DH36,T8,15/08/2018,15:00,5.8,B,S/S,9.33,93.2,2.23,93.2,1.22,2.14,B,8.8,1
332,DH36,T9,16/08/2018,14:30,6.78,B,S/S,10.02,NA,2.3,91.1322,1.91,4.2078,B,8.8,1
