"","Expt","Timepoint","Date","Time","Day","Sample","Treatment","Cells_mL","DOC","lncellsml","INT_DOC","delta_cells","delta_doc","Bottle","stationary","t_gen"
"1","DH36","T0","09/08/2018","19:45",0,"A","S/S",7.85,98.32,2.06,98.32,0,0,"A",7.2,0.4
"2","DH36","T0","09/08/2018","19:45",0,"A","S/S",7.85,98.32,2.06,98.32,0,0,"B",8.8,1
"3","DH36","T0","09/08/2018","19:45",0,"A","S/S",7.85,98.32,2.06,98.32,0,0,"C",7.2,0.4
"4","DH36","T0","09/08/2018","19:45",0,"A","S/S",7.85,98.32,2.06,98.32,0,0,"D",7.8,0.4
"5","DH36","T0","09/08/2018","19:45",0,"A","S/S",7.85,98.32,2.06,98.32,0,0,"E",7.6,0.1
"6","DH36","T0","09/08/2018","19:45",0,"A","S/S",7.85,98.32,2.06,98.32,0,0,"F",7.8,0.1
"7","DH36","T0","09/08/2018","19:45",0,"B","S/S",8.11,95.34,2.09,95.34,0,0,"A",7.2,0.4
"8","DH36","T0","09/08/2018","19:45",0,"B","S/S",8.11,95.34,2.09,95.34,0,0,"B",8.8,1
"9","DH36","T0","09/08/2018","19:45",0,"B","S/S",8.11,95.34,2.09,95.34,0,0,"C",7.2,0.4
"10","DH36","T0","09/08/2018","19:45",0,"B","S/S",8.11,95.34,2.09,95.34,0,0,"D",7.8,0.4
"11","DH36","T0","09/08/2018","19:45",0,"B","S/S",8.11,95.34,2.09,95.34,0,0,"E",7.6,0.1
"12","DH36","T0","09/08/2018","19:45",0,"B","S/S",8.11,95.34,2.09,95.34,0,0,"F",7.8,0.1
"13","DH36","T0","09/08/2018","19:45",0,"C","S/D",7.8,97.83,2.05,97.83,0,0,"A",7.2,0.4
"14","DH36","T0","09/08/2018","19:45",0,"C","S/D",7.8,97.83,2.05,97.83,0,0,"B",8.8,1
"15","DH36","T0","09/08/2018","19:45",0,"C","S/D",7.8,97.83,2.05,97.83,0,0,"C",7.2,0.4
"16","DH36","T0","09/08/2018","19:45",0,"C","S/D",7.8,97.83,2.05,97.83,0,0,"D",7.8,0.4
"17","DH36","T0","09/08/2018","19:45",0,"C","S/D",7.8,97.83,2.05,97.83,0,0,"E",7.6,0.1
"18","DH36","T0","09/08/2018","19:45",0,"C","S/D",7.8,97.83,2.05,97.83,0,0,"F",7.8,0.1
"19","DH36","T0","09/08/2018","19:45",0,"D","S/D",8.29,103.05,2.12,103.05,0,0,"A",7.2,0.4
"20","DH36","T0","09/08/2018","19:45",0,"D","S/D",8.29,103.05,2.12,103.05,0,0,"B",8.8,1
"21","DH36","T0","09/08/2018","19:45",0,"D","S/D",8.29,103.05,2.12,103.05,0,0,"C",7.2,0.4
"22","DH36","T0","09/08/2018","19:45",0,"D","S/D",8.29,103.05,2.12,103.05,0,0,"D",7.8,0.4
"23","DH36","T0","09/08/2018","19:45",0,"D","S/D",8.29,103.05,2.12,103.05,0,0,"E",7.6,0.1
"24","DH36","T0","09/08/2018","19:45",0,"D","S/D",8.29,103.05,2.12,103.05,0,0,"F",7.8,0.1
"25","DH36","T0","09/08/2018","19:45",0,"E","D/S",17.73,97.51,2.88,97.51,0,0,"A",7.2,0.4
"26","DH36","T0","09/08/2018","19:45",0,"E","D/S",17.73,97.51,2.88,97.51,0,0,"B",8.8,1
"27","DH36","T0","09/08/2018","19:45",0,"E","D/S",17.73,97.51,2.88,97.51,0,0,"C",7.2,0.4
"28","DH36","T0","09/08/2018","19:45",0,"E","D/S",17.73,97.51,2.88,97.51,0,0,"D",7.8,0.4
"29","DH36","T0","09/08/2018","19:45",0,"E","D/S",17.73,97.51,2.88,97.51,0,0,"E",7.6,0.1
"30","DH36","T0","09/08/2018","19:45",0,"E","D/S",17.73,97.51,2.88,97.51,0,0,"F",7.8,0.1
"31","DH36","T0","09/08/2018","19:45",0,"F","D/S",17.51,97.39,2.86,97.39,0,0,"A",7.2,0.4
"32","DH36","T0","09/08/2018","19:45",0,"F","D/S",17.51,97.39,2.86,97.39,0,0,"B",8.8,1
"33","DH36","T0","09/08/2018","19:45",0,"F","D/S",17.51,97.39,2.86,97.39,0,0,"C",7.2,0.4
"34","DH36","T0","09/08/2018","19:45",0,"F","D/S",17.51,97.39,2.86,97.39,0,0,"D",7.8,0.4
"35","DH36","T0","09/08/2018","19:45",0,"F","D/S",17.51,97.39,2.86,97.39,0,0,"E",7.6,0.1
"36","DH36","T0","09/08/2018","19:45",0,"F","D/S",17.51,97.39,2.86,97.39,0,0,"F",7.8,0.1
"37","DH36","T1","10/08/2018","10:50",0.63,"A","S/S",7.95,NA,2.07,98.61295,0.100000000000001,-0.292950000000005,"A",7.2,0.4
"38","DH36","T1","10/08/2018","10:50",0.63,"A","S/S",7.95,NA,2.07,98.61295,0.100000000000001,-0.292950000000005,"B",8.8,1
"39","DH36","T1","10/08/2018","10:50",0.63,"A","S/S",7.95,NA,2.07,98.61295,0.100000000000001,-0.292950000000005,"C",7.2,0.4
"40","DH36","T1","10/08/2018","10:50",0.63,"A","S/S",7.95,NA,2.07,98.61295,0.100000000000001,-0.292950000000005,"D",7.8,0.4
"41","DH36","T1","10/08/2018","10:50",0.63,"A","S/S",7.95,NA,2.07,98.61295,0.100000000000001,-0.292950000000005,"E",7.6,0.1
"42","DH36","T1","10/08/2018","10:50",0.63,"A","S/S",7.95,NA,2.07,98.61295,0.100000000000001,-0.292950000000005,"F",7.8,0.1
"43","DH36","T1","10/08/2018","10:50",0.63,"B","S/S",8.24,NA,2.11,95.34315,0.130000000000001,-0.00314999999999088,"A",7.2,0.4
"44","DH36","T1","10/08/2018","10:50",0.63,"B","S/S",8.24,NA,2.11,95.34315,0.130000000000001,-0.00314999999999088,"B",8.8,1
"45","DH36","T1","10/08/2018","10:50",0.63,"B","S/S",8.24,NA,2.11,95.34315,0.130000000000001,-0.00314999999999088,"C",7.2,0.4
"46","DH36","T1","10/08/2018","10:50",0.63,"B","S/S",8.24,NA,2.11,95.34315,0.130000000000001,-0.00314999999999088,"D",7.8,0.4
"47","DH36","T1","10/08/2018","10:50",0.63,"B","S/S",8.24,NA,2.11,95.34315,0.130000000000001,-0.00314999999999088,"E",7.6,0.1
"48","DH36","T1","10/08/2018","10:50",0.63,"B","S/S",8.24,NA,2.11,95.34315,0.130000000000001,-0.00314999999999088,"F",7.8,0.1
"49","DH36","T1","10/08/2018","10:50",0.63,"C","S/D",8.77,NA,2.17,96.39675,0.97,1.43325,"A",7.2,0.4
"50","DH36","T1","10/08/2018","10:50",0.63,"C","S/D",8.77,NA,2.17,96.39675,0.97,1.43325,"B",8.8,1
"51","DH36","T1","10/08/2018","10:50",0.63,"C","S/D",8.77,NA,2.17,96.39675,0.97,1.43325,"C",7.2,0.4
"52","DH36","T1","10/08/2018","10:50",0.63,"C","S/D",8.77,NA,2.17,96.39675,0.97,1.43325,"D",7.8,0.4
"53","DH36","T1","10/08/2018","10:50",0.63,"C","S/D",8.77,NA,2.17,96.39675,0.97,1.43325,"E",7.6,0.1
"54","DH36","T1","10/08/2018","10:50",0.63,"C","S/D",8.77,NA,2.17,96.39675,0.97,1.43325,"F",7.8,0.1
"55","DH36","T1","10/08/2018","10:50",0.63,"D","S/D",8.66,NA,2.16,100.04805,0.370000000000001,3.00194999999999,"A",7.2,0.4
"56","DH36","T1","10/08/2018","10:50",0.63,"D","S/D",8.66,NA,2.16,100.04805,0.370000000000001,3.00194999999999,"B",8.8,1
"57","DH36","T1","10/08/2018","10:50",0.63,"D","S/D",8.66,NA,2.16,100.04805,0.370000000000001,3.00194999999999,"C",7.2,0.4
"58","DH36","T1","10/08/2018","10:50",0.63,"D","S/D",8.66,NA,2.16,100.04805,0.370000000000001,3.00194999999999,"D",7.8,0.4
"59","DH36","T1","10/08/2018","10:50",0.63,"D","S/D",8.66,NA,2.16,100.04805,0.370000000000001,3.00194999999999,"E",7.6,0.1
