Timepoint,Day,Day2,Treatment,amoA,amoA_SD,cbbl,cbbl_SD
T0,0,Day 0,D/S,7.51,3.29,110.00,32.20
T4,2,Day 2,D/S,32.01,5.32,1580.00,29.90
T8,5.9,Day 6,D/S,3.44,0.93,184.00,71.10
T10,8.8,Day 9,D/S,12.96,7.19,198.00,51.30
T11,11.86,Day 12,D/S,4.99,4.11,133.00,90.30
T13,20.84375,Day 21,D/S,95.24,80.42,9.17,4.18
T0,0,Day 0,S/D,0.61,0.03,761.00,18.70
T4,2,Day 2,S/D,2.71,1.37,1170.00,213.00
T8,5.9,Day 6,S/D,0.56,0.51,68.60,9.49
T10,8.8,Day 9,S/D,0.34,0.32,44.60,49.80
T11,11.86,Day 12,S/D,0.69,0.52,26.60,2.64
T13,20.84,Day 21,S/D,673.50,227.42,20.40,1.34
T0,0,Day 0,S/S,0.61,0.03,761.00,18.70
T4,2,Day 2,S/S,0.58,0.12,1060.00,107.00
T8,5.9,Day 6,S/S,0.93,0.87,43.20,26.70
T10,8.8,Day 9,S/S,0.67,0.42,168.00,53.40
T11,11.86,Day 12,S/S,0.82,0.22,92.80,3.98
T13,20.84,Day 21,S/S,0.13,0.01,12.60,12.40
