Timepoint,Day,Day2,Treatment,amoA,amoA_SD,cbbl,cbbl_SD,,
T0,0,Day 0,D/S,74.29474437,30.75488683,1152.34,437.37,,
T4,2,Day 2,D/S,166.7205422,23.65551055,19399.39,463.77,,
T8,5.9,Day 6,D/S,109.2275256,15.43191696,1894.23,766.94,,
T10,8.8,Day 9,D/S,81.11410258,33.44835633,1835.88,479.99,,
T11,11.86,Day 12,D/S,49.0215973,14.30621174,1336.25,705.29,,
T13,20.84375,Day 21,D/S,2022.119338,666.4275324,355.17,110.40,,
T0,0,Day 0,S/D,14.0569807,0.390666373,9922.69,314.15,,
T4,2,Day 2,S/D,24.77386852,1.770914609,12574.13,3438.04,,
T8,5.9,Day 6,S/D,12.76501895,1.48140858,1262.94,322.92,,
T10,8.8,Day 9,S/D,7.507376583,4.603282589,438.88,459.61,,
T11,11.86,Day 12,S/D,22.72983616,14.81932115,398.31,60.49,,
T13,20.84,Day 21,S/D,10151.93381,2289.737789,244.05,27.20,,
T0,0,Day 0,S/S,14.0569807,0.390666373,9922.69,314.15,,
T4,2,Day 2,S/S,14.3566509,3.267991196,10468.66,921.40,,
T8,5.9,Day 6,S/S,12.2666977,0.376059791,2047.11,620.53,,
T10,8.8,Day 9,S/S,13.10219096,1.572599794,1598.29,438.98,,
T11,11.86,Day 12,S/S,12.19864324,3.860192595,897.15,26.91,,
T13,20.84,Day 21,S/S,15.46501469,14.57065273,92.09,29.96,,
