Seq,DH137,DH138,DH139,DH140,DH141,DH142,DH143,DH144
DH_1,9,0,9,19,1521,17920,21577,37
DH_2,3400,3520,2978,3344,1451,210,69,0
DH_3,2792,2743,3418,3270,5984,511,129,41
DH_4,9452,9522,11121,9477,2748,253,79,17
DH_5,2059,2042,2342,2553,3925,460,151,0
DH_6,757,752,1165,985,2917,141,39,11
DH_7,0,0,0,0,332,3659,5315,0
DH_8,355,372,477,592,3803,245,92,0
DH_9,0,0,0,0,1132,522,73,0
DH_10,0,0,0,0,1534,27677,18357,0
DH_11,656,673,865,917,365,36,0,0
DH_12,1334,1397,1726,1351,2509,80,28,0
DH_13,0,0,0,0,910,4719,7642,29
DH_14,1718,1892,2224,2221,258,85,26,15
DH_15,5,6,5,20,6166,1189,538,0
DH_16,539,485,587,890,1504,67,21,29
DH_17,2695,1943,1722,1501,1661,104,17,0
DH_18,1472,1517,1792,1642,2547,83,32,0
DH_19,1475,1103,1327,1351,486,43,20,0
DH_20,264,262,272,361,1096,138,0,0
DH_21,4860,4066,3723,4243,374,215,114,0
DH_22,161,186,234,275,119,0,0,0
DH_23,444,481,535,734,1554,50,23,0
DH_24,142,124,176,174,902,24,13,0
DH_25,664,838,898,836,84,22,13,0
DH_26,41,37,38,120,1829,82,17,12
DH_27,811,924,864,758,66,0,0,0
DH_28,78,109,181,630,1832,168,21,0
DH_29,97,67,135,122,45,0,0,0
DH_30,0,0,0,0,0,0,0,0
DH_31,0,0,0,0,263,0,0,0
DH_32,1168,1094,1097,1381,56,0,0,0
DH_33,232,233,277,240,310,16,0,0
DH_34,80,58,113,90,372,54,29,0
DH_35,0,24,29,81,448,32,0,0
DH_36,206,205,231,384,1025,62,9,0
DH_37,752,867,996,971,103,0,0,0
DH_38,382,284,479,334,0,0,0,0
DH_39,45,57,65,91,1219,63,0,0
DH_40,996,1006,1054,749,134,0,0,0
DH_41,180,162,134,187,64,0,0,0
DH_42,1745,1929,2449,1958,109,14,0,8
DH_43,478,285,193,136,66,0,0,0
DH_44,0,0,0,0,0,0,0,0
DH_45,0,0,0,0,0,0,0,0
DH_46,159,171,264,264,0,0,0,0
DH_47,1029,1137,1481,1240,7,0,0,0
DH_48,0,0,0,0,2352,156,34,0
DH_49,315,493,352,594,495,41,9,0
DH_50,41,47,46,50,0,50,21,12
DH_51,125,79,87,115,756,89,50,0
DH_52,97,94,122,146,258,0,0,0
DH_53,532,498,707,696,138,18,0,0
DH_54,206,200,155,268,556,19,0,0
DH_55,1355,1477,1579,1397,180,0,0,0
DH_56,259,79,50,0,75,0,0,6
DH_57,0,0,0,0,101,557,870,0
DH_58,118,80,97,114,177,0,0,0
DH_59,0,0,0,0,59,0,0,0
DH_60,0,0,0,0,844,1392,155,0
DH_61,229,226,184,210,274,19,0,0
DH_62,101,132,165,194,115,0,0,0
DH_63,0,0,0,0,0,0,0,0
DH_64,468,430,475,309,0,0,0,0
DH_65,250,223,280,285,128,66,14,0
DH_66,216,231,222,221,0,0,0,0
DH_67,0,0,0,0,73,0,0,0
DH_68,121,150,143,127,12,0,0,0
DH_69,117,133,186,201,0,0,0,3
DH_70,155,147,150,173,860,40,0,0
DH_71,0,0,0,0,0,0,0,0
DH_72,0,0,0,0,0,0,0,0
DH_73,115,98,101,101,0,0,0,0
DH_74,535,441,570,642,378,49,0,0
DH_75,456,475,497,439,145,0,0,0
DH_76,179,251,115,155,0,0,0,0
DH_77,333,443,333,435,615,27,3,0
DH_78,1000,911,900,473,15,0,0,0
DH_79,2442,2804,2786,2206,91,78,26,0
DH_80,151,201,277,192,14,0,0,0
DH_81,0,0,0,0,1819,47,5,0
DH_82,0,0,0,0,41,486,267,0
DH_83,429,435,629,598,43,0,0,0
DH_84,82,99,110,93,150,7,4,0
DH_85,0,0,0,0,16,3,0,0
DH_86,0,0,0,0,0,0,0,0
DH_87,15,18,22,51,27,18,11,0
DH_88,221,231,243,209,0,0,0,0
DH_89,221,186,180,109,0,0,0,0
DH_90,0,61,65,90,0,0,0,0
DH_91,0,0,0,0,951,111,19,0
DH_92,192,216,226,256,0,0,0,0
DH_93,0,0,0,0,453,919,351,0
DH_94,0,0,0,0,0,0,0,0
DH_95,45,49,55,58,0,0,0,0
DH_96,0,0,0,0,0,20,62,0
DH_97,332,332,437,397,47,0,0,0
DH_98,49,69,121,152,0,0,0,0
DH_99,16,24,22,67,927,164,32,0
DH_100,157,127,112,115,112,0,0,0
DH_101,0,0,0,0,0,0,0,0
DH_102,528,423,488,472,27,0,0,0
DH_103,0,0,0,0,169,626,59,0
DH_104,0,0,0,103,275,0,0,0
DH_105,0,0,0,0,60,0,0,0
DH_106,0,0,0,0,0,0,0,0
DH_107,330,310,355,325,415,17,0,0
DH_108,72,98,81,87,405,15,0,0
DH_109,0,0,0,0,9,41,291,0
DH_110,181,175,201,216,11,0,0,0
DH_111,83,75,105,150,251,85,16,0
DH_112,381,391,407,379,0,0,0,0
DH_113,4,5,12,18,379,31,0,0
DH_114,143,141,188,215,1039,47,0,0
DH_115,0,0,7,15,24,9,0,0
DH_116,190,225,241,279,0,0,0,0
DH_117,42,0,25,124,162,15,0,0
DH_118,0,0,0,0,0,0,0,0
DH_119,443,472,411,375,31,0,0,0
DH_120,0,0,0,0,0,0,0,0
DH_121,0,0,0,12,269,0,0,0
DH_122,0,0,0,0,0,0,0,0
DH_123,62,67,92,89,980,82,19,0
DH_124,0,0,0,0,0,0,0,0
DH_125,50,0,0,75,222,22,0,0
DH_126,175,190,188,230,0,0,0,0
DH_127,0,0,0,0,21,59,128,0
DH_128,0,0,0,0,0,35,0,0
DH_129,7,0,18,196,32,21,0,0
DH_130,0,0,0,2,19,5,0,0
DH_131,264,341,488,596,597,13,0,0
DH_132,51,78,92,95,0,0,0,0
DH_133,17,33,28,133,557,147,73,0
DH_134,0,0,0,0,0,0,0,0
DH_135,193,168,182,136,0,0,0,0
DH_136,0,0,0,0,0,0,0,0
DH_137,12,25,25,39,552,21,0,0
DH_138,0,0,0,0,0,399,0,0
DH_139,230,230,262,328,0,0,0,0
DH_140,0,0,0,0,5,0,9,0
DH_141,1809,2536,3133,2204,14,11,5,0
DH_142,0,0,0,0,0,0,0,0
DH_143,0,0,23,0,0,0,0,0
DH_144,0,0,0,0,0,13,15,0
DH_145,25,43,33,34,210,13,0,0
DH_146,0,0,0,0,0,0,0,0
DH_147,52,41,83,47,33,0,0,0
DH_148,13,19,19,26,309,5,5,0
DH_149,182,185,203,246,120,18,5,0
DH_150,0,0,0,0,118,156,6,0
DH_151,56,143,209,166,827,17,0,0
DH_152,155,163,166,150,0,0,0,0
