Seq,Phylum,Class,Order,Family,Genus,Lineage
DH_4708,Bacteria,10bav-F6,NA,NA,NA,10bav-F6
DH_13421,Bacteria,10bav-F6,NA,NA,NA,10bav-F6
DH_1625,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_2772,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_2995,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_3078,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_3393,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_3533,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_3567,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_3681,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_3841,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_3845,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_3998,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_4274,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_4898,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_4990,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_5636,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_5727,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_5857,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_6429,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_7317,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_7363,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_7757,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_7803,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_8162,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_8342,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_8358,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_8486,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_8837,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_8863,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_8963,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_9688,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_9815,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_9891,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_9976,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_10348,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_10738,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_10779,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_10877,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_11207,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_11208,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_11334,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_11680,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_12393,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_12447,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_12587,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_13027,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_13183,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_13272,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_13325,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_13487,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_13835,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_13843,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_14164,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_14168,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_14199,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_14256,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_14313,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_15286,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_15389,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
DH_15721,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA,Absconditabacteriales (SR1)
