Seq_ID,Cruise,Date,Sample_ID,Day,Month,Year,Depth,Treatment,Bottle,Timepoint,Time,Day2,Type1,Type2,Filter,Temp,Salinity,pH,DO,DIC ,TA,Bacteria,Cyanobacteria,BP,pCO2 ,Phosphate ,Silicate,Nitrite,Nitrate,Ammonia,DOC,TOC,Asp,Glu,His,Ser,Arg,Thr,Gly,BAla,Tyr,Ala,GABA,Met,Val,Ile,Leu,Lys,TDAA ave (nM),TDAA stdev,TDAA C (nM),DOC (uM),TDAA yield,Mol% BAla+GABA,Degradation index
DH177,36,08/09/2018,A0,8,9,2018,0,S/S,A,T0,0,Day 0,Expt,Expt,Supor,30.000,36.170,8.480,152.188,1989.574,2322.708,7.853,6.545,517.680,458.002,0.005,1.678,0.002,0.033,0.004,93.91,99.62,210.866,206.361,27.055,230.140,83.453,111.495,454.159,27.490,41.802,210.374,23.275,8.795,83.346,48.798,92.897,75.586,1935.891,61.072,7530.331,96.305,7.819,2.622,2.289
DH177a,36,08/09/2018,B0,8,9,2018,0,S/S,B,T0,0,Day 0,Expt,Expt,Supor,30.000,36.170,8.480,152.188,1989.574,2322.708,8.109,6.545,517.680,458.002,0.005,1.678,0.002,0.033,0.004,93.91,95.43,179.708,174.566,17.642,163.461,74.741,101.113,356.932,28.637,31.001,196.505,25.232,7.663,74.374,42.836,81.450,69.986,1625.847,14.507,6385.839,93.728,6.813,3.313,2.437
DH179,36,15/09/2018,A8,15,9,2018,0,S/S,A,T8,5.8,Day 6,Expt,Expt,Supor,25.500,36.670,8.390,136.563,,,9.558,,,,0.052,1.425,0.014,0.017,0.561,92.26,93.96,80.513,95.777,22.267,127.150,68.535,68.384,398.199,22.943,31.173,132.290,39.541,7.254,59.045,35.303,63.897,60.196,1312.468,52.629,4989.428,92.263,5.408,4.761,2.285
DH180,36,15/09/2018,B8,15,9,2018,0,S/S,B,T8,5.8,Day 6,Expt,Expt,Supor,24.900,36.670,8.410,153.438,,,9.327,,,,0.032,1.702,0.012,0.013,0.656,91.77,91.39,82.280,101.417,22.707,131.230,69.900,69.230,357.735,23.339,32.617,142.949,39.792,9.654,65.211,36.364,66.389,63.769,1314.584,79.980,5102.976,91.772,5.560,4.802,2.577
DH185,36,30/09/2018,A13,30,9,2018,0,S/S,A,T13,20.84,Day 21,Expt,Expt,Supor,,,,,,,8.240,,,,0.006,1.757,0.009,0.043,0.682,83.68,83.42,,,,,,,,,,,,,,,,,,,,,,,
DH186,36,30/09/2018,B13,30,9,2018,0,S/S,B,T13,20.84,Day 21,Expt,Expt,Supor,,,,,,,9.209,,,,0.000,1.684,0.032,0.016,0.790,80.13,81.03,,,,,,,,,,,,,,,,,,,,,,,
DH137,36,09/08/2018,5,9,8,2018,1,Surface,,T0,0,Day 0,Profile,Expt,Supor,30.000,36.493,7.982,148.125,1989.574,2322.708,17.622,6.545,517.680,458.002,0.005,1.678,0.002,0.033,0.004,93.91,101.96,165.132,138.959,19.539,159.049,59.858,101.351,292.554,24.218,23.231,159.578,8.843,6.281,62.706,26.824,59.118,48.456,1355.696,134.669,5246.520,93.908,5.587,2.439,2.245
DH138,36,09/08/2018,6,9,8,2018,5,,,,,,Profile,Profile,Supor,29.800,36.590,7.990,152.188,1989.286,2326.566,20.206,6.948,439.210,448.685,0.017,1.614,0.002,0.000,0.004,93.42,99.36,114.471,106.549,16.254,130.148,48.024,72.291,248.124,23.421,20.179,116.239,12.093,2.880,40.937,20.115,44.296,42.251,1058.271,263.379,4060.164,93.419,4.346,3.356,2.075
DH139,36,09/08/2018,7,9,8,2018,10,,,,,,Profile,Profile,Supor,29.500,36.590,7.983,146.875,1995.500,2325.584,29.353,6.434,365.621,457.740,0.009,2.280,0.002,0.000,0.004,93.38,98.09,153.227,147.614,22.304,166.670,70.749,117.707,307.160,25.288,29.281,165.179,9.023,6.699,66.073,31.552,68.185,59.692,1446.403,370.676,5685.909,93.378,6.089,2.372,2.709
DH140,36,09/08/2018,8,9,8,2018,15,,,,,,Profile,Profile,Supor,29.200,36.560,7.943,142.188,2025.853,2327.805,28.446,2.764,283.927,515.728,0.005,1.885,0.010,0.000,0.004,95.10,100.86,155.405,120.789,15.559,122.589,49.511,86.136,273.495,27.145,23.889,153.097,42.387,6.240,62.860,30.417,53.552,53.120,1276.191,-,4968.595,95.098,5.225,5.448,2.214
