Seq,Phylum,Class,Order,Family,Genus
DH_35013,Bacteria,Acidobacteriota,Blastocatellia,Nov-24,NA
DH_10588,Bacteria,Chloroflexi,Dehalococcoidia,661239,NA
DH_33916,Bacteria,Chloroflexi,Dehalococcoidia,661239,NA
DH_4572,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA
DH_6878,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA
DH_7270,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA
DH_7351,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA
DH_8729,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA
DH_9006,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA
DH_9763,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA
DH_9955,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA
DH_10114,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA
DH_10209,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA
DH_10521,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA
DH_12335,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA
DH_12488,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA
DH_13036,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA
DH_13641,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA
DH_13950,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA
DH_13956,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA
DH_14415,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA
DH_15330,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA
DH_15344,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA
DH_15451,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA
DH_17971,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA
DH_18844,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA
DH_20733,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA
DH_21144,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA
DH_21991,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA
DH_22642,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA
DH_23109,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA
DH_23352,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA
DH_25564,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA
DH_29309,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA
DH_30581,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA
DH_31274,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA
DH_31352,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA
DH_32672,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA
DH_32724,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA
DH_32942,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA
DH_33575,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA
DH_34111,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA
DH_34680,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA
DH_35288,Bacteria,Bdellovibrionota,Oligoflexia,0319-6G20,NA
DH_381,Bacteria,Bdellovibrionota,Oligoflexia,053A03-B-DI-P58,NA
DH_2401,Bacteria,Bdellovibrionota,Oligoflexia,053A03-B-DI-P58,NA
DH_2859,Bacteria,Bdellovibrionota,Oligoflexia,053A03-B-DI-P58,NA
DH_4163,Bacteria,Bdellovibrionota,Oligoflexia,053A03-B-DI-P58,NA
DH_11838,Bacteria,Bdellovibrionota,Oligoflexia,053A03-B-DI-P58,NA
DH_15833,Bacteria,Bdellovibrionota,Oligoflexia,053A03-B-DI-P58,NA
DH_23175,Bacteria,Bdellovibrionota,Oligoflexia,053A03-B-DI-P58,NA
DH_34519,Bacteria,Bdellovibrionota,Oligoflexia,053A03-B-DI-P58,NA
DH_1625,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_2772,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_2995,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_3078,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_3393,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_3533,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_3567,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_3681,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_3841,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_3845,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_3998,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_4274,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_4898,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_4990,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_5636,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_5727,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_5857,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_6429,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_7317,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_7363,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_7757,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_7803,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_8162,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_8342,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_8358,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
DH_8486,Bacteria,Patescibacteria,Gracilibacteria,Absconditabacteriales (SR1),NA
