Timepoint,Day,Treatment,Bacteria,Bacteria_SD,DOC,DOC_SD,TOC,TOC_SD,MOL_%,MOL_%_SD,DI,DI_SD,TDAA,TDAA_SD,TDAA_C,TDAA_C_SD,Yield,Yield_SD,Phosphate,PO4_SD,Silicate,SO3_SD,Nitrite,NO2_SD,Nitrate,NO3_SD,Ammonium,NH4_SD
T0,0,S/S,7.981,0.181,96.83,1.912,98.10720635,3.566541175,2.97,0.49,2.36,0.1,1780.86877,219.2339881,6958.084693,809.2778662,7.316177931,0.711423946,0.03,0.01414214,1.495,0.09192388,0.01,0.01414214,0.015,0.0212132,0.025,0.00707107
T1,0.62847222,S/S,8.094,0.199,,,,,,,,,,,,,,,,,,,,,,,,
T2,0.92708333,S/S,8.08,0.14,,,,,,,,,,,,,,,,,,,,,,,,
T3,1.59375,S/S,7.857,0.217,,,,,,,,,,,,,,,,,,,,,,,,
T4,2,S/S,7.835,0.127,97.298,2.287,97.22738408,1.964080031,2.36,0.41,2.34,0.54,1171.249774,214.1184817,4630.747096,950.7295222,4.821110895,0.855558326,0.005,0.00707107,1.655,0.04949748,0.015,0.0212132,0.005,0.00707107,0.07,0.09899495
T5,2.71875,S/S,8.201,0.108,,,,,,,,,,,,,,,,,,,,,,,,
T6,3.71875,S/S,8.813,0.263,,,,,,,,,,,,,,,,,,,,,,,,
T7,4.55208333,S/S,9,0.627,,,,,,,,,,,,,,,,,,,,,,,,
T8,5.9,S/S,9.443,0.163,93.53,0.359,94.29080492,2.234779651,4.78,0.03,2.43,0.21,1313.52572,1.496054612,5046.20183,80.29099858,5.484161343,0.107950978,0.04,0.01414214,1.565,0.19091883,0.01,0,0.015,0.00707107,0.61,0.07071068
T9,6.78125,S/S,9.694,0.456,,,,,,,,,,,,,,,,,,,,,,,,
T10,8.80208333,S/S,9.658,0.244,88.368,1.775,92.14693243,1.537596217,,,,,,,,,,,0.01,0.01414214,1.75,0.15556349,0.025,0.03535534,0.03,0.04242641,0.285,0.00707107
T11,11.8645833,S/S,10.062,0.219,90.491,1.274,89.73156266,2.244459396,4.75,1.36,1.65,0.34,637.3878944,83.79615123,2383.492838,350.898913,2.674599815,0.390282835,0.005,0.00707107,1.53,0.01414214,0,0,0.025,0.03535534,0.525,0.04949748
T12,16.8645833,S/S,8.751,0.845,,,,,,,,,,,,,,,,,,,,,,,,
T13,20.84375,S/S,8.724,0.686,82.811,2.477,83.77746023,4.170433627,,,,,,,,,,,0.005,0.00707107,1.72,0.05656854,0.02,0.01414214,0.03,0.01414214,0.735,0.07778175
T0,0,S/D,8.043,0.347,100.974,2.939,99.31278212,3.576349726,3.86,2.38,1.81,0.63,1870.103797,354.4203123,7135.668465,1588.310713,7.171756404,1.686668527,0.155,0.14849242,4.11,0.45254834,3.485,0.26162951,0.03,0,0.655,0.09192388
T1,0.62847222,S/D,8.713,0.077,,,,,,,,,,,,,,,,,,,,,,,,
T2,0.92708333,S/D,8.613,0.387,,,,,,,,,,,,,,,,,,,,,,,,
T3,1.59375,S/D,8.684,0.024,,,,,,,,,,,,,,,,,,,,,,,,
T4,2,S/D,9.461,0.356,93.444,0.857,99.88205695,5.983600458,3.79,1.19,1.24,0.88,837.5540837,168.7881035,3145.479597,775.2585102,3.451875139,0.856846532,0.04,0.01414214,4.34,0.29698485,3.67,0.08485281,0.045,0.03535534,0.7,0.11313709
T5,2.71875,S/D,9.496,0.668,,,,,,,,,,,,,,,,,,,,,,,,
T6,3.71875,S/D,13.216,1.303,,,,,,,,,,,,,,,,,,,,,,,,
T7,4.55208333,S/D,15.649,0.247,,,,,,,,,,,,,,,,,,,,,,,,
T8,5.9,S/D,20.007,0.506,92.031,2.894,92.20207631,3.030347045,6.97,0.39,0.98,0.22,812.4896489,217.594203,2979.534097,903.9526908,3.248541532,0.906303672,0.095,0.04949748,4.39,0.29698485,3.665,0.09192388,0.05,0.02828427,1.385,0.10606602
T9,6.78125,S/D,18.786,0.154,,,,,,,,,,,,,,,,,,,,,,,,
T10,8.80208333,S/D,17.006,0.128,89.951,1.58,87.05536723,4.126190776,,,,,,,,,,,0.09,0.09899495,4.455,0.03535534,3.625,0.1767767,0.1,0.02828427,1.615,0.27577165
T11,11.8645833,S/D,14.695,0.196,86.919,1.852,86.7998161,1.762145651,3.83,0.01,2.31,0.15,826.229341,18.14600918,3174.27884,42.87860885,3.743106507,0.095601956,0.095,0.10606602,4.185,0.28991378,3.715,0.1767767,0.095,0.12020815,1.875,0.33234019
T12,16.8645833,S/D,14.306,0.191,,,,,,,,,,,,,,,,,,,,,,,,
T13,20.84375,S/D,14.058,0.229,81.295,2.186,83.43013183,2.421071821,,,,,,,,,,,0.085,0.12020815,4.4,0.24041631,4.95,1.92333045,0.055,0.07778175,1.04,1.47078211
