Timepoint,Day,Treatment,Bacteria,Bacteria_SD,DOC,DOC_SD
T0,0,S/S,7.981,0.181,96.87,1.912
T1,0.62847222,S/S,8.094,0.199,,
T2,0.92708333,S/S,8.08,0.14,,
T3,1.59375,S/S,7.857,0.217,,
T4,2,S/S,7.835,0.127,97.298,2.287
T5,2.71875,S/S,8.201,0.108,,
T6,3.71875,S/S,8.813,0.263,,
T7,4.55208333,S/S,9,0.627,,
T8,5.9,S/S,9.443,0.163,93.05,0.359
T9,6.78125,S/S,9.694,0.456,,
T10,8.80208333,S/S,9.658,0.244,88.368,1.775
T11,11.8645833,S/S,10.062,0.219,90.53,1.274
T12,16.8645833,S/S,8.751,0.845,,
T13,20.84375,S/S,8.724,0.686,84.877,0.745
T0,0,S/D,8.043,0.347,100.669,2.329
T1,0.62847222,S/D,8.713,0.077,,
T2,0.92708333,S/D,8.613,0.387,,
T3,1.59375,S/D,8.684,0.024,,
T4,2,S/D,9.461,0.356,93.444,0.857
T5,2.71875,S/D,9.496,0.668,,
T6,3.71875,S/D,13.216,1.303,,
T7,4.55208333,S/D,15.649,0.247,,
T8,5.9,S/D,20.007,0.506,92.48,2.747
T9,6.78125,S/D,18.786,0.154,,
T10,8.80208333,S/D,17.006,0.128,89.951,1.58
T11,11.8645833,S/D,14.695,0.196,86.919,1.852
T12,16.8645833,S/D,14.306,0.191,,
T13,20.84375,S/D,14.058,0.229,80.86,3.279
T0,0,D/S,17.619,0.156,97.451,1.471
T1,0.62847222,D/S,14.74,0.169,,
T2,0.92708333,D/S,13.152,0.096,,
T3,1.59375,D/S,13.129,0.197,,
T4,2,D/S,13.413,0.272,95.582,0.76
T5,2.71875,D/S,13.46,0.205,,
T6,3.71875,D/S,14.527,0.434,,
T7,4.55208333,D/S,21.939,1.264,,
T8,5.9,D/S,17.948,0.829,94.28,4.017
T9,6.78125,D/S,15.444,0.083,,
T10,8.80208333,D/S,14.664,0.418,84.089,1.322
T11,11.8645833,D/S,14.416,0.032,89.84,0.385
T12,16.8645833,D/S,14.81,0.318,,
T13,20.84375,D/S,12.357,0.564,82.9,1.252
